id,treatment cell,%upfront,number of images: exogogenous/endogenous,Sort/Nosort,Wage,batch,$CSR,%CSR,Msg
1,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
2,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
3,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
4,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
5,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
6,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
7,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
8,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
9,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
10,baselineUpfront,0,exog,NoSort,1.2,exp1,0,0,0
11,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
12,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
13,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
14,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
15,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
16,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
17,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
18,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
19,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
20,upfront10,10,exog,NoSort,1.2,exp1,0,0,0
21,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
22,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
23,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
24,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
25,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
26,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
27,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
28,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
29,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
30,upfront50,50,exog,NoSort,1.2,exp1,0,0,0
31,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
32,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
33,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
34,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
35,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
36,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
37,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
38,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
39,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
40,upfront90,90,exog,NoSort,1.2,exp1,0,0,0
41,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
42,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
43,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
44,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
45,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
46,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
47,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
48,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
49,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
50,baselineHighWage,10,exog,NoSort,1.26,exp1,0,0,0
51,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
52,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
53,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
54,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
55,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
56,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
57,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
58,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
59,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
60,CSRMedWageFirmMsg,10,exog,NoSort,1.2,exp1,0.06,5,Firm
61,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
62,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
63,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
64,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
65,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
66,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
67,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
68,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
69,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
70,CSRLowWageFirm,10,exog,NoSort,0.9,exp1,0.36,32.6,Firm
71,CSRMedWageWorker,10,exog,NoSort,1.2,exp1,0.02,5,Worker
72,CSRMedWageWorker,10,exog,NoSort,1.2,exp1,0.02,5,Worker
73,CSRMedWageWorker,10,exog,NoSort,1.2,exp1,0.02,5,Worker
74,CSRMedWageWorker,10,exog,NoSort,1.2,exp1,0.02,5,Worker
75,CSRMedWageWorker,10,exog,NoSort,1.2,exp1,0.02,5,Worker
76,CSRMedWageWorker,10,exog,NoSort,1.2,exp1,0.02,5,Worker
